COD_CARTAO	IDADE_CLIENTE	RENDA_MENSAL_CLIENTE	BEHAVIOUR_SCORE_CLIENTE	QTD_TRANSACOES_3M	QTD_ITENS_3M	VALOR_GASTO_3M	TICKET_MEDIO_3M	FLAG_ELETRONICOS_3M	SATISFACAO_ULTIMA_COMPRA	VALOR_GASTO_PROX_12M
212394	22	1500	52	2	4	802	401	0	01_Muito_Satisfeito	226
279177	29	1800	94	5	5	1384	276.8	1	03_Neutro	2786
291430	36	1500	89	5	6	1610	322	1	Nao_Respondeu	3737
176612	43	1500	48	3	4	836	278.67	0	01_Muito_Satisfeito	1162
223092	28	12090	89	4	5	1318	329.5	0	Nao_Respondeu	2699
161386	18	1500	55	1	3	192	192	0	02_Satisfeito	0
219659	53	15330	89	4	8	1095	273.75	0	03_Neutro	3006
292045	57	1500	73	3	8	2105	701.67	0	03_Neutro	2984
138634	35	1500	60	2	1	640	320	0	02_Satisfeito	607
217273	34	1500	88	3	5	1879	626.33	0	Nao_Respondeu	2476
196709	28	11775	82	2	5	473	236.5	0	Nao_Respondeu	850
185375	62	22035	94	7	9	2196	313.71	1	Nao_Respondeu	7793
320791	44	15375	91	4	7	877	219.25	1	03_Neutro	2552
262741	57	20655	69	2	7	1203	601.5	0	02_Satisfeito	2664
158882	35	9540	74	3	4	1456	485.33	0	01_Muito_Satisfeito	2152
165547	40	16710	74	2	6	771	385.5	0	02_Satisfeito	1990
351756	22	10500	87	4	4	1007	251.75	0	03_Neutro	1730
341826	31	12000	88	4	5	1462	365.5	0	Nao_Respondeu	2485
272218	32	2100	95	5	5	1689	337.8	1	Nao_Respondeu	3731
321264	81	24870	94	6	11	1846	307.67	1	Nao_Respondeu	8534
328421	24	1500	92	4	4	1095	273.75	1	Nao_Respondeu	1733
148339	32	7215	35	3	4	1016	338.67	1	01_Muito_Satisfeito	1392
302099	58	17730	92	8	8	2397	299.63	1	Nao_Respondeu	8995
322091	29	10110	88	4	5	1613	403.25	0	Nao_Respondeu	2972
213723	36	9060	69	2	5	669	334.5	0	02_Satisfeito	704
313797	32	1500	70	1	1	556	556	0	Nao_Respondeu	0
127623	26	6090	79	3	4	1159	386.33	0	Nao_Respondeu	1130
148250	28	1500	42	1	4	1130	1130	0	04_Insatisfeito	0
217571	34	9195	84	4	4	1388	347	0	Nao_Respondeu	2807
310618	62	1500	68	1	1	1336	1336	0	Nao_Respondeu	968
279664	74	18780	94	8	9	1654	206.75	1	Nao_Respondeu	8860
159773	34	1500	57	1	5	1123	1123	0	Nao_Respondeu	0
327260	40	7020	68	2	6	763	381.5	0	02_Satisfeito	1074
216151	31	1500	78	3	5	1437	479	0	Nao_Respondeu	958
